"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789654218628100171","Sun May 12 13:49:50 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/5O0NDRKDa8","1789654218628100171","","","in","","0","7","7","https://twitter.com/Liliana92547871/status/1789654218628100171","1048904120","Liliana92547871"
"1789654215423631553","Sun May 12 13:49:49 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/pgtd5Crx5F","1789654215423631553","","","in","","0","6","6","https://twitter.com/JulieReid515458/status/1789654215423631553","1777855395232706560","JulieReid515458"
"1789654202605822333","Sun May 12 13:49:46 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/MfdbaMbrpW","1789654202605822333","","","in","","0","5","5","https://twitter.com/DavidsonJo44776/status/1789654202605822333","1769378241024770048","DavidsonJo44776"
"1789654161447096480","Sun May 12 13:49:36 +0000 2024","5","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/gguOWwBkZV","1789654161447096480","","","in","","0","5","5","https://twitter.com/AustinCale47888/status/1789654161447096480","1769429222861197312","AustinCale47888"
"1789643060579828080","Sun May 12 13:49:29 +0000 2024","0","@FaktaSepakbola Ini bukan hanya sekedar tim mereka udah kaya kluarga percaya guys sekarang kita bener² memiliki timnas yang hebat aku yakin kalo rezekinya timnas kita akan sanga kuat dan susah buat di kalahin","1789654130941940184","","FaktaSepakbola","in","","0","0","0","https://twitter.com/Ling09x/status/1789654130941940184","1569107929944723456","Ling09x"
"1789643060579828080","Sun May 12 13:49:23 +0000 2024","0","@FaktaSepakbola Terimakasih.. 🇮🇩 Scr permainan mrk sangat layak tampil di olympic 2024 Insyaalloh timnas Lolos Pildun 2026 ","1789654103645430102","","FaktaSepakbola","in","","0","0","0","https://twitter.com/budicahyadi168/status/1789654103645430102","4611151032","budicahyadi168"
"1789626589312848324","Sun May 12 13:49:21 +0000 2024","0","@theaseanball Aff fokus pemain liga 1 aje bukan kalender FIFA ini Biar pemain yg dikasihanin bung towel maen di timnas","1789654096150196254","","theaseanball","in","","0","0","0","https://twitter.com/Ini_Hayyu/status/1789654096150196254","4363675752","Ini_Hayyu"
"1789654022435262476","Sun May 12 13:49:03 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/IgxEWUt3EM","1789654022435262476","","","in","","0","6","6","https://twitter.com/BernardYou92881/status/1789654022435262476","1769370354059812865","BernardYou92881"
"1789654009890177044","Sun May 12 13:49:00 +0000 2024","8","Owh ini yang katanya Viral anime onepiece manga netflix spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/Zup1uq2tjn","1789654009890177044","","","in","Toronto","0","6","6","https://twitter.com/MeganHristov/status/1789654009890177044","37557523","MeganHristov"
"1789642962118558135","Sun May 12 13:48:26 +0000 2024","13","@tanyakanrl Plis bgt ini mah kata gua netijen lain kali jd supporter yg baik yak kritik dan hype secukupnya. Pemain timnas nih mentalnya udh banyak dipermainkan dgn keadaan diremehkan negara lain banyak menghadapi ketidak adilan jd jgn bikin makin down apresiasi apapun hasilnya.","1789653866801418707","","tanyakanrl","in","","0","0","1","https://twitter.com/mutiaayd/status/1789653866801418707","359286067","mutiaayd"
